foxf1_normalized	bmp4_normalized
0.132696	0.033441
0.049894	0.065270
0.256900	0.065874
0.209130	0.058824
0.138004	0.040693
0.291932	0.047341
0.270701	0.051370
0.211253	0.061845
0.252654	0.069500
0.262208	0.076954
0.233546	0.062651
0.227176	0.094279
0.179406	0.136986
0.354565	0.139404
0.236730	0.128928
0.267516	0.120870
0.290870	0.123489
0.160297	0.070709
0.178344	0.087832
0.244161	0.047139
0.326964	0.043110
0.350318	0.022160
0.297240	0.026994
0.161359	0.034448
0.273885	0.024174
0.217622	0.033642
0.221868	0.037268
0.204883	0.061241
0.242038	0.062047
0.334395	0.058018
0.170913	0.067889
0.320594	0.060032
0.294055	0.077760
0.256900	0.066882
0.290870	0.079170
0.233546	0.050161
0.301486	0.074940
0.205945	0.043513
0.184713	0.038678
0.256900	0.031225
0.263270	0.028807
0.265393	0.021555
0.209130	0.010677
0.176221	0.015713
0.230361	0.031225
0.290870	0.014504
0.152866	0.048550
0.158174	0.023771
0.222930	0.013497
0.303609	0.036060
0.282378	0.022562
0.246285	0.035455
0.141189	0.039283
0.271762	0.031426
0.291932	0.044319
0.273885	0.026994
0.164544	0.042707
0.152866	0.040894
0.250531	0.040894
0.337580	0.039081
0.228238	0.040492
0.269639	0.050161
0.229299	0.032434
0.188960	0.042305
0.386412	0.052780
0.221868	0.059831
0.330149	0.053787
0.232484	0.032635
0.324841	0.048550
0.216561	0.062047
0.214437	0.048348
0.113588	0.032836
0.257962	0.058421
0.221868	0.040089
0.046709	0.060032
0.272824	0.049557
0.254777	0.052579
0.272824	0.038880
0.173036	0.041499
0.260085	0.034247
0.243100	0.040089
0.279193	0.054795
0.341826	0.055600
0.191083	0.041096
0.250531	0.055399
0.265393	0.054996
0.335456	0.030620
0.272824	0.055197
0.342887	0.056608
0.304671	0.038477
0.235669	0.054996
0.325902	0.044521
0.273885	0.058824
0.287686	0.064464
0.228238	0.053787
0.223992	0.059428
0.300425	0.060032
0.129512	0.052780
0.140127	0.052981
0.265393	0.034045
0.135881	0.051974
0.302548	0.030822
0.255839	0.052176
0.246285	0.045125
0.323779	0.066882
0.276008	0.037067
0.205945	0.090048
0.223992	0.090048
0.322718	0.093272
0.113588	0.111402
0.227176	0.101934
0.337580	0.081990
0.228238	0.080580
0.304671	0.085012
0.256900	0.067889
0.292994	0.085214
0.434183	0.072522
0.147558	0.063054
0.267516	0.055197
0.111465	0.071313
0.197452	0.063457
0.342887	0.059831
0.173036	0.042506
0.166667	0.043513
0.154989	0.040492
0.201699	0.036060
0.190021	0.033239
0.294055	0.045729
0.221868	0.033844
0.220807	0.028807
0.249469	0.007051
0.221868	0.019541
0.238854	0.035052
0.256900	0.006446
0.282378	0.027397
0.208068	0.015713
0.181529	0.014102
0.358811	0.019339
0.282378	0.027800
0.261146	0.010274
0.108280	0.009871
0.154989	0.017123
0.154989	0.005036
0.150743	0.001209
0.270701	0.021757
0.201699	0.005641
0.242038	0.008259
0.254777	0.016317
0.222930	0.009670
0.252654	0.016720
0.230361	0.005439
0.271762	0.011684
0.282378	0.021152
0.157113	0.029412
0.207006	0.028002
0.178344	0.046334
0.119958	0.043513
0.141189	0.039081
0.133758	0.043916
0.117834	0.029009
0.149682	0.030620
0.088110	0.043312
0.174098	0.031225
0.203822	0.041902
0.092357	0.031628
0.197452	0.047744
0.247346	0.029815
0.079618	0.023771
0.182590	0.033441
0.090234	0.033038
0.111465	0.030620
0.236730	0.033038
0.116773	0.019742
0.139066	0.017728
0.260085	0.025584
0.123142	0.035455
0.153928	0.012893
0.087049	0.013497
0.159236	0.018936
0.285563	0.019339
0.164544	0.023167
0.214437	0.019138
0.045648	0.018735
0.143312	0.010878
0.101911	0.013699
0.152866	0.024577
0.157113	0.016519
0.226115	0.005842
0.151805	0.026793
0.111465	0.029613
0.072187	0.014303
0.193206	0.041297
0.008493	0.015915
0.154989	0.026390
0.200637	0.025181
0.057325	0.022965
0.116773	0.025584
0.312102	0.048348
0.269639	0.032434
0.105096	0.022965
0.198514	0.027800
0.063694	0.039283
0.138004	0.044319
0.110403	0.033844
0.203822	0.034045
0.173036	0.030016
0.196391	0.020548
0.264331	0.027599
0.212314	0.025181
0.079618	0.041902
0.169851	0.034045
0.141189	0.006446
0.138004	0.031628
0.210191	0.012288
0.163482	0.032434
0.319533	0.032031
0.139066	0.038276
0.153928	0.025987
0.220807	0.015109
0.204883	0.042305
0.138004	0.042506
0.158174	0.042707
0.117834	0.029210
0.076433	0.024577
0.157113	0.031023
0.090234	0.042909
0.374735	0.029815
0.248408	0.064867
0.307856	0.042506
0.151805	0.036261
0.164544	0.043916
0.215499	0.056608
0.210191	0.063860
0.222930	0.049960
0.101911	0.042305
0.190021	0.025786
0.069002	0.027800
0.112527	0.029412
0.213376	0.037671
0.160297	0.032031
0.212314	0.043715
0.074310	0.020951
0.270701	0.028807
0.110403	0.038477
0.334395	0.033642
0.228238	0.042305
0.230361	0.049355
0.298301	0.068493
0.239915	0.070306
0.247346	0.076148
0.147558	0.045326
0.166667	0.069299
0.164544	0.036865
0.119958	0.049154
0.263270	0.061845
0.084926	0.044118
0.302548	0.061241
0.230361	0.058824
0.227176	0.059226
0.205945	0.043312
0.100849	0.046938
0.295117	0.086825
0.342887	0.113618
0.220807	0.106567
0.253715	0.141015
0.316348	0.140210
0.297240	0.126914
0.230361	0.135375
0.302548	0.114827
0.254777	0.074537
0.343949	0.078969
0.289809	0.041902
0.370488	0.039081
0.243100	0.027196
0.247346	0.039283
0.142251	0.050363
0.201699	0.031225
0.204883	0.042103
0.204883	0.037671
0.288747	0.060435
0.288747	0.063860
0.183652	0.074335
0.213376	0.057816
0.321656	0.070105
0.193206	0.057413
0.259023	0.059629
0.319533	0.064263
