measurement_name	bin_idx	bin_start_um	bin_end_um	bin_mid_um	bin_width_um	total_count_px	n_images	mean	sd	sem
fixed_sox2_bgz_over_dapi_gate	39	706.0396728515625	726.9016723632812	716.2872314453125	20.86199951171875	449180	35	0.007839392571310912	0.0023871458392360117	0.00040350129253755815
fixed_sox2_bgz_over_dapi_gate	40	726.9017944335938	750.0431518554688	738.2774658203125	23.141357421875	449175	32	0.007865346007747576	0.002589217911092571	0.00045771338572580606
fixed_sox2_bgz_over_dapi_gate	41	750.0432739257812	775.4328002929688	762.57373046875	25.3895263671875	449175	32	0.007930022344226018	0.002773654347890499	0.0004903174495152308
fixed_sox2_bgz_over_dapi_gate	42	775.432861328125	802.029052734375	788.6668701171875	26.59619140625	449176	26	0.008051281553119995	0.002404280507511688	0.00047151820092126393
fixed_sox2_bgz_over_dapi_gate	43	802.029052734375	829.5509033203125	815.6848754882812	27.5218505859375	449180	25	0.008393600964918733	0.0020611878105539585	0.0004122375621107917
fixed_sox2_bgz_over_dapi_gate	44	829.5511474609375	858.490478515625	843.8868408203125	28.9393310546875	449175	25	0.008664998412132262	0.0021757917074834736	0.0004351583414966947
fixed_sox2_bgz_over_dapi_gate	45	858.4906005859375	889.0801391601562	873.65234375	30.58953857421875	449175	25	0.009097857307642699	0.002520071762724657	0.0005040143525449314
fixed_sox2_bgz_over_dapi_gate	46	889.0802001953125	921.8258666992188	905.1937866210938	32.74566650390625	449175	25	0.009160082545131445	0.002547996414333437	0.0005095992828666874
fixed_sox2_bgz_over_dapi_gate	47	921.8260498046875	959.835205078125	940.2562866210938	38.0091552734375	449175	25	0.008874540459364652	0.0028602132530194642	0.0005720426506038928
fixed_sox2_bgz_over_dapi_gate	48	959.8353271484375	1004.7874145507812	981.624267578125	44.95208740234375	449175	25	0.00855464263819158	0.0030090087973993454	0.0006018017594798691
fixed_sox2_bgz_over_dapi_gate	49	1004.7875366210938	1060.254150390625	1031.48583984375	55.46661376953125	449176	22	0.00827924365347082	0.0028811506597203494	0.000614263384580818
fixed_sox2_bgz_over_dapi_gate	50	1060.254150390625	1132.660400390625	1094.3260498046875	72.40625	449179	20	0.007913507742341609	0.003703989145184891	0.0008282371516554754
fixed_sox2_bgz_over_dapi_gate	51	1132.660400390625	1305.34326171875	1192.6241455078125	172.682861328125	449176	15	0.007538768695667386	0.004696949674102961	0.0012127471910516746
fixed_sox2_bgz_over_dapi_gate	52	1305.3447265625	1394.5916748046875	1333.3095703125	89.2469482421875	18289	7	0.005141521521311786	0.004757644681774901	0.001798220664912203
fixed_t_bgz_over_dapi_gate	0	0.11603163927793503	114.51063537597656	76.41797637939453	114.39460373669863	449176	32	0.01621626570704393	0.0042204327751460295	0.0007460741587119292
fixed_t_bgz_over_dapi_gate	1	114.51063537597656	165.73245239257812	141.478271484375	51.22181701660156	449176	34	0.015609651256133528	0.0037487802922016025	0.0006429105161226957
fixed_t_bgz_over_dapi_gate	2	165.73248291015625	204.50521850585938	185.91949462890625	38.772735595703125	449175	34	0.015895029721672043	0.003128682045400085	0.0005365645441468851
fixed_t_bgz_over_dapi_gate	3	204.5052490234375	235.39065551757812	220.4417724609375	30.885406494140625	449175	34	0.01662041726248229	0.0031617718328064083	0.000542239395869736
fixed_t_bgz_over_dapi_gate	4	235.3906707763672	261.3656921386719	248.68853759765625	25.975021362304688	449175	36	0.01670658474581109	0.002971872775784509	0.0004953121292974182
fixed_t_bgz_over_dapi_gate	5	261.36578369140625	284.2403869628906	273.01483154296875	22.874603271484375	449175	36	0.016826945408764813	0.0032649123450464866	0.0005441520575077478
fixed_t_bgz_over_dapi_gate	6	284.2404479980469	304.6859130859375	294.6374816894531	20.445465087890625	449176	36	0.01626673847850826	0.0029390272044252535	0.0004898378674042089
fixed_t_bgz_over_dapi_gate	7	304.6859130859375	323.3343505859375	314.13507080078125	18.6484375	449177	36	0.015749713483576972	0.0028505225491058366	0.00047508709151763945
fixed_t_bgz_over_dapi_gate	8	323.3343505859375	340.594482421875	332.07476806640625	17.2601318359375	449177	36	0.01546063693240285	0.0027266144908427	0.0004544357484737833
fixed_t_bgz_over_dapi_gate	9	340.59454345703125	356.7626037597656	348.75811767578125	16.168060302734375	449175	36	0.01516370066545076	0.0026731731003997875	0.00044552885006663123
fixed_t_bgz_over_dapi_gate	10	356.76263427734375	372.0588073730469	364.4784851074219	15.296173095703125	449175	36	0.014766460905472437	0.0025946008557754968	0.0004324334759625828
fixed_t_bgz_over_dapi_gate	11	372.058837890625	386.5422668457031	379.3669738769531	14.483428955078125	449175	36	0.014529090504058532	0.0026172258355098258	0.0004362043059183043
fixed_t_bgz_over_dapi_gate	12	386.54229736328125	400.2668151855469	393.46343994140625	13.724517822265625	449177	36	0.014168206757555405	0.002548979105161963	0.0004248298508603272
