measurement_name	bin_idx	bin_start_um	bin_end_um	bin_mid_um	bin_width_um	total_count_px	n_images	mean	sd	sem
fixed_tagyfp_bgz_over_dapi_gate	18	476.1015930175781	490.19207763671875	483.1618347167969	14.090484619140625	819755	36	0.00011549736895075411	0.00019434441375216002	3.2390735625360004e-05
fixed_tagyfp_bgz_over_dapi_gate	19	490.1921081542969	504.16961669921875	497.18389892578125	13.977508544921875	819754	36	0.00010510412436006946	0.00019457621113992967	3.242936852332161e-05
fixed_tagyfp_bgz_over_dapi_gate	20	504.1696472167969	518.2131958007812	511.17779541015625	14.043548583984375	819756	36	9.261656415067894e-05	0.0001954686103371234	3.25781017228539e-05
fixed_tagyfp_bgz_over_dapi_gate	21	518.2131958007812	532.550048828125	525.3401489257812	14.33685302734375	819760	36	7.946324104482174e-05	0.0001917333903429221	3.1955565057153684e-05
fixed_tagyfp_bgz_over_dapi_gate	22	532.550048828125	547.5802001953125	539.98583984375	15.0301513671875	819757	36	6.329926679882192e-05	0.00018320175437110586	3.0533625728517646e-05
fixed_tagyfp_bgz_over_dapi_gate	23	547.5802001953125	564.0034790039062	555.6431274414062	16.42327880859375	819756	36	3.870831439674779e-05	0.00018954502611215953	3.159083768535992e-05
fixed_tagyfp_bgz_over_dapi_gate	24	564.0034790039062	582.607421875	573.0750732421875	18.60394287109375	819764	36	2.4112189254626377e-05	0.0002153715389481472	3.5895256491357865e-05
fixed_tagyfp_bgz_over_dapi_gate	25	582.607421875	604.9051513671875	593.358642578125	22.2977294921875	819755	36	-1.506094779162797e-06	0.00022754242976854178	3.7923738294756964e-05
fixed_tagyfp_bgz_over_dapi_gate	26	604.9052124023438	634.081298828125	618.6015014648438	29.17608642578125	819758	36	-3.235224145707131e-05	0.000255070051288675	4.251167521477917e-05
fixed_tagyfp_bgz_over_dapi_gate	27	634.081298828125	686.9393310546875	656.6654663085938	52.8580322265625	819755	36	-3.3681674974812064e-05	0.0003506297599176967	5.843829331961611e-05
fixed_tagyfp_bgz_over_dapi_gate	28	686.939453125	906.60498046875	729.4296875	219.66552734375	422277	35	-0.0001939181358985869	0.000517245326360149	8.743041766234401e-05
