marker_key	bin_index	bin_center_um	mean_fraction	std_fraction	mean_intensity_fraction	std_intensity_fraction	mean_intensity_all_fraction	std_intensity_all_fraction	mean_soft_intensity_fraction	std_soft_intensity_fraction	n_organoids
foxf1	14	257.9424528323587	0.6510462022987664	0.3252657863444575	0.0220169169750545	0.033172049021894225	0.016423556815618492	0.023179334500569138	0.025892831517773107	0.03992449799641931	37
foxf1	15	275.7315875104524	0.7092508501864734	0.28182961455028904	0.013845116880451817	0.025605090317229812	0.010484498029803961	0.01874206210433252	0.015482340957914401	0.029939834702006802	26
foxf1	16	293.5207221885461	0.6307548953511382	0.30257458374313323	0.0077066665585122434	0.019396799698492687	0.006086664868367514	0.015091259168967237	0.00831926184432855	0.021397956882314828	18
foxf1	17	311.30985686663985	0.7574639723207512	0.25156039877121844	0.004003521686080799	0.014984550854574218	0.0033353384181093364	0.012036505213020562	0.004128795655280787	0.015888906120805475	8
foxf1	18	329.0989915447335	0.6965562620086353	0.2463035302766181	0.002234636294637548	0.012341194142352694	0.0019038082961979701	0.009812327531215918	0.002215383102247645	0.012792781847465004	5
foxf1	19	346.88812622282717	0.5017821959101633	0.31498466956890986	0.0014568130671753783	0.010391215357090462	0.001234275232501533	0.008181921980395109	0.0014221479042975335	0.01048443661113524	3
foxf1	20	364.67726090092094	0.2803022139782871	0.2745881146531854	0.0015897010674494143	0.00978685259097228	0.0013399779682669434	0.007701431971898438	0.001484462350406181	0.009149595234229438	2
foxf1	21	382.4663955790146	0.2534150304914012	0.2534150304914012	0.0007014087497701912	0.0043237739188883295	0.0006543380319252143	0.00362429750306643	0.0005401565687285564	0.00332969373856872	2
foxf1	22	400.25553025710826	0.1134203496636602	0.1134203496636602	0.00011601285263849696	0.000715151253329127	0.00017036051881545397	0.0008214314296954356	4.42631536793818e-05	0.0002728348297966344	2
foxf1	23	418.04466493520204	0.0	0.0	1.979320303468117e-07	1.2201349795059666e-06	2.2481672140973217e-05	0.0001117805884932178	2.7399076465986183e-08	1.6889925063534294e-07	1
pax8	0	8.894567339046851	0.2016932998069223	0.21791517495193855	0.057978432284830204	0.05537799074253081	0.08243236142643642	0.017524237002572933	0.05348104899497157	0.06815393745774831	28
pax8	1	26.683702017140554	0.2019800797954037	0.1924935437416384	0.06311129800163919	0.045795382284918695	0.09067526269534722	0.020475464964583176	0.054515134603399434	0.054896004323890586	67
pax8	2	44.47283669523426	0.21357268975872426	0.1826616251252213	0.07089352534751124	0.04029927601991729	0.0917702099470211	0.019965688045565897	0.062266261909544485	0.04842305146600035	67
pax8	3	62.26197137332796	0.23037529544417557	0.17426733748361184	0.08076672240632458	0.0362219688967544	0.09261813886362966	0.019112015483264674	0.07507357378718194	0.04440138099463014	67
pax8	4	80.05110605142167	0.25150732546261445	0.17098641284321467	0.09166671483973841	0.0365351431852713	0.0930796473543682	0.017633412364907546	0.09075833639785777	0.04805544054799175	67
pax8	5	97.84024072951536	0.2769218208530317	0.1722665866245748	0.10250563655458238	0.03890913667421179	0.09193250093691212	0.015361426030321037	0.10553842807543573	0.04911636531508998	67
pax8	6	115.62937540760907	0.2988512140760495	0.17427567146675316	0.108406023556121	0.04372144931570552	0.08783715644970072	0.013896013150387165	0.11687398171577114	0.057615714997968415	67
pax8	7	133.41851008570276	0.31889617389960734	0.18674753735795147	0.10472567360531423	0.04419397602374966	0.08010561748317878	0.01443263635186885	0.11423043462816793	0.05930515036952869	67
pax8	8	151.20764476379648	0.33188919282584617	0.2121854317427521	0.09017260419608424	0.039320981804637174	0.06916941600239979	0.016273623106034387	0.09630522941887566	0.0542034361943241	67
pax8	9	168.99677944189017	0.315455692331286	0.22838287156411727	0.06816735189667673	0.03935143240780498	0.055258768394911444	0.01914320113824753	0.07223258594244024	0.05135703938236949	67
pax8	10	186.7859141199839	0.2697017708055375	0.2487907895689076	0.045051435546720996	0.03992497970947483	0.03950597022821496	0.021062686442637583	0.04726790480360728	0.048435152057044226	67
pax8	11	204.57504879807757	0.22389234064269367	0.2661293882577661	0.0276265927695809	0.034428828054784734	0.025929290871600726	0.019521321648584795	0.027896773583033857	0.041099704983506916	65
pax8	12	222.3641834761713	0.1825543862033443	0.24251942792264647	0.015212689196798603	0.02480284138410953	0.015709558394730858	0.015479104408383276	0.014517890496550322	0.029101494926290102	57
pax8	13	240.15331815426498	0.13684479081880846	0.2164942953298497	0.007498857065420377	0.016651047227334632	0.008922134122779745	0.011178760653505898	0.0065679023600639375	0.017294323620070936	47
pax8	14	257.9424528323587	0.09537891853687148	0.1759467903927691	0.003702011071219615	0.012913484763738747	0.005019643204588569	0.008706143180243769	0.003353911339775479	0.015144747306317869	37
pax8	15	275.7315875104524	0.056286668042898065	0.1494452756616681	0.001973981023729025	0.012204549963145996	0.002890578998931811	0.0074795428273271534	0.002319001569032904	0.016717406197045686	26
