cohort_label	file_id	file_path	marker_key	bin_index	bin_center_um	positive_fraction	positive_intensity_fraction	intensity_fraction	soft_intensity_fraction
baseline	1	data/2026-02-27-magnet-print(FOXF1 cells)/day5 after fix and stain (647PAX8)/1.czi	pax8	18	329.0989915447335		0.0	0.0	0.0
baseline	1	data/2026-02-27-magnet-print(FOXF1 cells)/day5 after fix and stain (647PAX8)/1.czi	pax8	19	346.88812622282717		0.0	0.0	0.0
baseline	1	data/2026-02-27-magnet-print(FOXF1 cells)/day5 after fix and stain (647PAX8)/1.czi	pax8	20	364.67726090092094				
baseline	1	data/2026-02-27-magnet-print(FOXF1 cells)/day5 after fix and stain (647PAX8)/1.czi	pax8	21	382.4663955790146				
baseline	1	data/2026-02-27-magnet-print(FOXF1 cells)/day5 after fix and stain (647PAX8)/1.czi	pax8	22	400.25553025710826				
baseline	1	data/2026-02-27-magnet-print(FOXF1 cells)/day5 after fix and stain (647PAX8)/1.czi	pax8	23	418.04466493520204				
baseline	2	data/2026-02-27-magnet-print(FOXF1 cells)/day5 after fix and stain (647PAX8)/2.czi	foxf1	0	8.894567339046851	0.25106282996015505	0.10160442303985742	0.10038388131694344	0.11075164115633866
baseline	2	data/2026-02-27-magnet-print(FOXF1 cells)/day5 after fix and stain (647PAX8)/2.czi	foxf1	1	26.683702017140554	0.25418128197429696	0.09761428700996627	0.09690184482742085	0.10357408569663246
baseline	2	data/2026-02-27-magnet-print(FOXF1 cells)/day5 after fix and stain (647PAX8)/2.czi	foxf1	2	44.47283669523426	0.25522554837963285	0.090721437415016	0.09064468106986599	0.09199588369134087
baseline	2	data/2026-02-27-magnet-print(FOXF1 cells)/day5 after fix and stain (647PAX8)/2.czi	foxf1	3	62.26197137332796	0.24755124614192806	0.08082954335082099	0.0826641903147492	0.07760349553555411
baseline	2	data/2026-02-27-magnet-print(FOXF1 cells)/day5 after fix and stain (647PAX8)/2.czi	foxf1	4	80.05110605142167	0.23308659076733193	0.07248181778663686	0.07682702360090911	0.06779036039970139
baseline	2	data/2026-02-27-magnet-print(FOXF1 cells)/day5 after fix and stain (647PAX8)/2.czi	foxf1	5	97.84024072951536	0.23309440529622158	0.06704142356220746	0.07082700609179202	0.059331544584685814
baseline	2	data/2026-02-27-magnet-print(FOXF1 cells)/day5 after fix and stain (647PAX8)/2.czi	foxf1	6	115.62937540760907	0.2595152237677289	0.07513186156766152	0.07393543054700209	0.07003889849826374
baseline	2	data/2026-02-27-magnet-print(FOXF1 cells)/day5 after fix and stain (647PAX8)/2.czi	foxf1	7	133.41851008570276	0.30597808949275684	0.0829657782830647	0.078768006462156	0.08498825606922215
baseline	2	data/2026-02-27-magnet-print(FOXF1 cells)/day5 after fix and stain (647PAX8)/2.czi	foxf1	8	151.20764476379648	0.48771349620928867	0.08077687667124571	0.0766398427503806	0.08548667604567814
baseline	2	data/2026-02-27-magnet-print(FOXF1 cells)/day5 after fix and stain (647PAX8)/2.czi	foxf1	9	168.99677944189017	0.6313725626294607	0.06430134331522065	0.06220938411801002	0.06454028891162741
baseline	2	data/2026-02-27-magnet-print(FOXF1 cells)/day5 after fix and stain (647PAX8)/2.czi	foxf1	10	186.7859141199839	0.40833610250201957	0.026860073474907466	0.030031775527358143	0.02382856997879905
baseline	2	data/2026-02-27-magnet-print(FOXF1 cells)/day5 after fix and stain (647PAX8)/2.czi	foxf1	11	204.57504879807757	0.0655278556392675	0.0006852968078975592	0.002292368673646957	0.0001637544751158499
baseline	2	data/2026-02-27-magnet-print(FOXF1 cells)/day5 after fix and stain (647PAX8)/2.czi	foxf1	12	222.3641834761713		0.0	3.2930445179004236e-07	0.0
baseline	2	data/2026-02-27-magnet-print(FOXF1 cells)/day5 after fix and stain (647PAX8)/2.czi	foxf1	13	240.15331815426498		0.0	0.0	0.0
baseline	2	data/2026-02-27-magnet-print(FOXF1 cells)/day5 after fix and stain (647PAX8)/2.czi	foxf1	14	257.9424528323587		0.0	0.0	0.0
baseline	2	data/2026-02-27-magnet-print(FOXF1 cells)/day5 after fix and stain (647PAX8)/2.czi	foxf1	15	275.7315875104524		0.0	0.0	0.0
baseline	2	data/2026-02-27-magnet-print(FOXF1 cells)/day5 after fix and stain (647PAX8)/2.czi	foxf1	16	293.5207221885461		0.0	0.0	0.0
baseline	2	data/2026-02-27-magnet-print(FOXF1 cells)/day5 after fix and stain (647PAX8)/2.czi	foxf1	17	311.30985686663985		0.0	0.0	0.0
baseline	2	data/2026-02-27-magnet-print(FOXF1 cells)/day5 after fix and stain (647PAX8)/2.czi	foxf1	18	329.0989915447335		0.0	0.0	0.0
baseline	2	data/2026-02-27-magnet-print(FOXF1 cells)/day5 after fix and stain (647PAX8)/2.czi	foxf1	19	346.88812622282717		0.0	0.0	0.0
baseline	2	data/2026-02-27-magnet-print(FOXF1 cells)/day5 after fix and stain (647PAX8)/2.czi	foxf1	20	364.67726090092094				
baseline	2	data/2026-02-27-magnet-print(FOXF1 cells)/day5 after fix and stain (647PAX8)/2.czi	foxf1	21	382.4663955790146				
baseline	2	data/2026-02-27-magnet-print(FOXF1 cells)/day5 after fix and stain (647PAX8)/2.czi	foxf1	22	400.25553025710826				
baseline	2	data/2026-02-27-magnet-print(FOXF1 cells)/day5 after fix and stain (647PAX8)/2.czi	foxf1	23	418.04466493520204				
baseline	2	data/2026-02-27-magnet-print(FOXF1 cells)/day5 after fix and stain (647PAX8)/2.czi	mesp2	0	8.894567339046851	0.09799232560345095	0.04067145320092426	0.05241504960277092	0.019993097053215322
baseline	2	data/2026-02-27-magnet-print(FOXF1 cells)/day5 after fix and stain (647PAX8)/2.czi	mesp2	1	26.683702017140554	0.0802459687950433	0.03468499897906054	0.05381457746939167	0.021732492759701443
baseline	2	data/2026-02-27-magnet-print(FOXF1 cells)/day5 after fix and stain (647PAX8)/2.czi	mesp2	2	44.47283669523426	0.09122370645966832	0.04114985319707958	0.05787014384511241	0.02964311346671763
baseline	2	data/2026-02-27-magnet-print(FOXF1 cells)/day5 after fix and stain (647PAX8)/2.czi	mesp2	3	62.26197137332796	0.12702696708491404	0.06391149795377961	0.07068381497373336	0.05807784276400198
baseline	2	data/2026-02-27-magnet-print(FOXF1 cells)/day5 after fix and stain (647PAX8)/2.czi	mesp2	4	80.05110605142167	0.16033197896946483	0.09515385680034344	0.09235032018810281	0.114803607602734
baseline	2	data/2026-02-27-magnet-print(FOXF1 cells)/day5 after fix and stain (647PAX8)/2.czi	mesp2	5	97.84024072951536	0.21043482393699733	0.11427458964089056	0.10325665368717127	0.1276145571953934
baseline	2	data/2026-02-27-magnet-print(FOXF1 cells)/day5 after fix and stain (647PAX8)/2.czi	mesp2	6	115.62937540760907	0.26372073889476166	0.13247897671814196	0.11338872526480773	0.14084159037792052
baseline	2	data/2026-02-27-magnet-print(FOXF1 cells)/day5 after fix and stain (647PAX8)/2.czi	mesp2	7	133.41851008570276	0.28635829051945516	0.1266127293597461	0.1105440565416228	0.14099925454705883
baseline	2	data/2026-02-27-magnet-print(FOXF1 cells)/day5 after fix and stain (647PAX8)/2.czi	mesp2	8	151.20764476379648	0.35741122795404134	0.08974420325648982	0.08378241144080238	0.09349677507289751
baseline	2	data/2026-02-27-magnet-print(FOXF1 cells)/day5 after fix and stain (647PAX8)/2.czi	mesp2	9	168.99677944189017	0.44561499994999443	0.06786526224779729	0.06420933711289575	0.06357511288132423
baseline	2	data/2026-02-27-magnet-print(FOXF1 cells)/day5 after fix and stain (647PAX8)/2.czi	mesp2	10	186.7859141199839	0.344406010301869	0.037576910538983904	0.03848194257002959	0.03413700452247366
baseline	2	data/2026-02-27-magnet-print(FOXF1 cells)/day5 after fix and stain (647PAX8)/2.czi	mesp2	11	204.57504879807757	0.045083164679816067	0.0010640271617611814	0.0038228104660986656	0.00044892515651370475
baseline	2	data/2026-02-27-magnet-print(FOXF1 cells)/day5 after fix and stain (647PAX8)/2.czi	mesp2	12	222.3641834761713		0.0	-9.62234812619123e-07	0.0
baseline	2	data/2026-02-27-magnet-print(FOXF1 cells)/day5 after fix and stain (647PAX8)/2.czi	mesp2	13	240.15331815426498		0.0	0.0	0.0
baseline	2	data/2026-02-27-magnet-print(FOXF1 cells)/day5 after fix and stain (647PAX8)/2.czi	mesp2	14	257.9424528323587		0.0	0.0	0.0
baseline	2	data/2026-02-27-magnet-print(FOXF1 cells)/day5 after fix and stain (647PAX8)/2.czi	mesp2	15	275.7315875104524		0.0	0.0	0.0
baseline	2	data/2026-02-27-magnet-print(FOXF1 cells)/day5 after fix and stain (647PAX8)/2.czi	mesp2	16	293.5207221885461		0.0	0.0	0.0
baseline	2	data/2026-02-27-magnet-print(FOXF1 cells)/day5 after fix and stain (647PAX8)/2.czi	mesp2	17	311.30985686663985		0.0	0.0	0.0
baseline	2	data/2026-02-27-magnet-print(FOXF1 cells)/day5 after fix and stain (647PAX8)/2.czi	mesp2	18	329.0989915447335		0.0	0.0	0.0
baseline	2	data/2026-02-27-magnet-print(FOXF1 cells)/day5 after fix and stain (647PAX8)/2.czi	mesp2	19	346.88812622282717		0.0	0.0	0.0
baseline	2	data/2026-02-27-magnet-print(FOXF1 cells)/day5 after fix and stain (647PAX8)/2.czi	mesp2	20	364.67726090092094				
baseline	2	data/2026-02-27-magnet-print(FOXF1 cells)/day5 after fix and stain (647PAX8)/2.czi	mesp2	21	382.4663955790146				
baseline	2	data/2026-02-27-magnet-print(FOXF1 cells)/day5 after fix and stain (647PAX8)/2.czi	mesp2	22	400.25553025710826				
baseline	2	data/2026-02-27-magnet-print(FOXF1 cells)/day5 after fix and stain (647PAX8)/2.czi	mesp2	23	418.04466493520204				
baseline	2	data/2026-02-27-magnet-print(FOXF1 cells)/day5 after fix and stain (647PAX8)/2.czi	pax8	0	8.894567339046851	0.0961038496689636	0.21742504605595236	0.11832199739135026	0.26396347372631107
baseline	2	data/2026-02-27-magnet-print(FOXF1 cells)/day5 after fix and stain (647PAX8)/2.czi	pax8	1	26.683702017140554	0.08089352044285392	0.17582068335397816	0.11455432960618206	0.202950466340414
baseline	2	data/2026-02-27-magnet-print(FOXF1 cells)/day5 after fix and stain (647PAX8)/2.czi	pax8	2	44.47283669523426	0.06131490041097034	0.13364902650016902	0.11023637881065487	0.15842846949596828
baseline	2	data/2026-02-27-magnet-print(FOXF1 cells)/day5 after fix and stain (647PAX8)/2.czi	pax8	3	62.26197137332796	0.045200558974716365	0.10055816999538686	0.10546354551355427	0.12578740187894522
baseline	2	data/2026-02-27-magnet-print(FOXF1 cells)/day5 after fix and stain (647PAX8)/2.czi	pax8	4	80.05110605142167	0.03106367924859372	0.057091795779382934	0.09698828185054632	0.05164387073551154
baseline	2	data/2026-02-27-magnet-print(FOXF1 cells)/day5 after fix and stain (647PAX8)/2.czi	pax8	5	97.84024072951536	0.0020443858757130404	0.0027199443796065035	0.0857368952335526	0.000449000645733437
baseline	2	data/2026-02-27-magnet-print(FOXF1 cells)/day5 after fix and stain (647PAX8)/2.czi	pax8	6	115.62937540760907	0.03311683163576962	0.04264441610709128	0.07599710606564282	0.00985411686996426
baseline	2	data/2026-02-27-magnet-print(FOXF1 cells)/day5 after fix and stain (647PAX8)/2.czi	pax8	7	133.41851008570276	0.060196172768933284	0.06658336898575927	0.058769778300677415	0.017946740113742185
baseline	2	data/2026-02-27-magnet-print(FOXF1 cells)/day5 after fix and stain (647PAX8)/2.czi	pax8	8	151.20764476379648	0.04753243759387302	0.03608819194254949	0.039837083381355755	0.008961703851099529
baseline	2	data/2026-02-27-magnet-print(FOXF1 cells)/day5 after fix and stain (647PAX8)/2.czi	pax8	9	168.99677944189017	0.010487406980426807	0.0050798809577679745	0.025642523794502176	0.0015351437220601223
baseline	2	data/2026-02-27-magnet-print(FOXF1 cells)/day5 after fix and stain (647PAX8)/2.czi	pax8	10	186.7859141199839	0.00020763134008006372	8.007629657771301e-05	0.01183671229846571	0.00019941217291804224
baseline	2	data/2026-02-27-magnet-print(FOXF1 cells)/day5 after fix and stain (647PAX8)/2.czi	pax8	11	204.57504879807757	0.0	0.0	0.0012655112422159114	0.0
