treatment_key,frame,elapsed_hours,n_scenes,+-_mean,+-_sem,-+_mean,-+_sem,++_mean,++_sem,absolute_hours
14hr_basal,36,6.0,4,22.25,2.4958298553119898,0.2499999999999996,0.2499999999999996,0.4999999999999993,0.4999999999999992,22.5
14hr_basal,37,6.166666666666667,4,22.0,2.273030282830976,0.24999999999999872,0.24999999999999872,0.7499999999999996,0.478713553878169,22.666666666666668
14hr_basal,38,6.333333333333333,4,23.249999999999996,2.719528145346785,0.49999999999999833,0.2886751345948119,0.7499999999999993,0.4787135538781685,22.833333333333332
14hr_basal,39,6.5,4,21.749999999999996,3.3509948771471842,0.24999999999999936,0.24999999999999936,0.7499999999999973,0.2499999999999991,23.0
14hr_basal,40,6.666666666666667,4,24.499999999999993,3.774917217635374,0.0,0.0,0.0,0.0,23.166666666666668
14hr_basal,41,6.833333333333333,4,22.499999999999996,2.5000000000000004,0.0,0.0,0.7499999999999986,0.47871355387816794,23.333333333333332
14hr_basal,42,7.0,4,24.499999999999996,3.068658773253664,0.24999999999999992,0.24999999999999992,0.7499999999999964,0.2499999999999988,23.5
14hr_basal,43,7.166666666666667,4,24.0,3.763863263545405,0.0,0.0,0.9999999999999977,0.4082482904638623,23.666666666666668
14hr_basal,44,7.333333333333333,4,24.25,2.657536453183663,0.0,0.0,0.7499999999999984,0.4787135538781686,23.833333333333332
14hr_basal,45,7.5,4,24.749999999999996,4.47911821679223,0.24999999999999953,0.24999999999999953,0.7499999999999998,0.7499999999999998,24.0
