axis	edge_index	edge
bmp4	26	0.19791666666666674
bmp4	27	0.2343750000000001
bmp4	28	0.2708333333333335
bmp4	29	0.30729166666666674
bmp4	30	0.34375
bmp4	31	0.3802083333333335
bmp4	32	0.41666666666666674
bmp4	33	0.453125
bmp4	34	0.4895833333333335
bmp4	35	0.5260416666666667
bmp4	36	0.5625
bmp4	37	0.5989583333333335
bmp4	38	0.6354166666666667
bmp4	39	0.671875
bmp4	40	0.7083333333333335
bmp4	41	0.7447916666666667
bmp4	42	0.78125
bmp4	43	0.8177083333333335
bmp4	44	0.8541666666666667
bmp4	45	0.890625
bmp4	46	0.9270833333333335
bmp4	47	0.9635416666666667
bmp4	48	1.0
bmp4	49	1.0364583333333335
bmp4	50	1.0729166666666667
bmp4	51	1.1093750000000002
bmp4	52	1.1458333333333335
bmp4	53	1.1822916666666667
bmp4	54	1.2187500000000002
bmp4	55	1.2552083333333335
bmp4	56	1.291666666666667
bmp4	57	1.328125
bmp4	58	1.3645833333333335
bmp4	59	1.401041666666667
bmp4	60	1.4375
bmp4	61	1.4739583333333335
bmp4	62	1.510416666666667
bmp4	63	1.546875
bmp4	64	1.5833333333333335
bmp4	65	1.619791666666667
bmp4	66	1.65625
bmp4	67	1.6927083333333335
bmp4	68	1.729166666666667
bmp4	69	1.765625
bmp4	70	1.8020833333333335
bmp4	71	1.838541666666667
bmp4	72	1.875
bmp4	73	1.9114583333333335
bmp4	74	1.947916666666667
bmp4	75	1.984375
bmp4	76	2.0208333333333335
bmp4	77	2.057291666666667
bmp4	78	2.09375
bmp4	79	2.1302083333333335
bmp4	80	2.166666666666667
bmp4	81	2.203125
bmp4	82	2.2395833333333335
bmp4	83	2.276041666666667
bmp4	84	2.3125
bmp4	85	2.3489583333333335
bmp4	86	2.385416666666667
bmp4	87	2.421875
bmp4	88	2.4583333333333335
bmp4	89	2.494791666666667
bmp4	90	2.53125
bmp4	91	2.5677083333333335
bmp4	92	2.604166666666667
bmp4	93	2.640625
bmp4	94	2.6770833333333335
bmp4	95	2.713541666666667
bmp4	96	2.75
