position_label	reporter	metric_name	halfmax_time_hours
Pos29	RFP	positive_fraction_sigma2	15.131307924175958
Pos29	YFP	positive_fraction_sigma2	55.33361047578362
Pos3	RFP	positive_fraction_sigma2	4.93067986693431
Pos3	YFP	positive_fraction_sigma2	14.99906223646991
Pos30	RFP	positive_fraction_sigma2	12.053614085618797
Pos30	YFP	positive_fraction_sigma2	54.836240250324
Pos31	RFP	positive_fraction_sigma2	4.901619198643152
Pos31	YFP	positive_fraction_sigma2	58.27177803066104
Pos32	RFP	positive_fraction_sigma2	9.749699812260255
Pos32	YFP	positive_fraction_sigma2	60.780131597145676
Pos33	RFP	positive_fraction_sigma2	0.0
Pos33	YFP	positive_fraction_sigma2	47.638323927026605
Pos34	RFP	positive_fraction_sigma2	9.43357730637118
Pos34	YFP	positive_fraction_sigma2	55.09068133283299
Pos35	RFP	positive_fraction_sigma2	10.363637627395638
Pos35	YFP	positive_fraction_sigma2	54.31347140421999
Pos36	RFP	positive_fraction_sigma2	6.611732342000169
Pos36	YFP	positive_fraction_sigma2	51.38517737313499
Pos37	RFP	positive_fraction_sigma2	3.060047408318786
Pos37	YFP	positive_fraction_sigma2	57.169249395829866
Pos38	RFP	positive_fraction_sigma2	11.805379990005262
Pos38	YFP	positive_fraction_sigma2	34.524286849785696
Pos39	RFP	positive_fraction_sigma2	6.643275015319589
Pos39	YFP	positive_fraction_sigma2	25.32291785941641
Pos4	RFP	positive_fraction_sigma2	7.2842247286948325
Pos4	YFP	positive_fraction_sigma2	44.00197694168058
Pos40	RFP	positive_fraction_sigma2	7.325171173977082
Pos40	YFP	positive_fraction_sigma2	59.40254774496891
Pos41	RFP	positive_fraction_sigma2	11.284886565542573
Pos41	YFP	positive_fraction_sigma2	29.503670733941508
Pos42	RFP	positive_fraction_sigma2	11.137247572684997
Pos42	YFP	positive_fraction_sigma2	52.585897536839
Pos43	RFP	positive_fraction_sigma2	6.730421250692542
Pos43	YFP	positive_fraction_sigma2	59.27712735556839
Pos44	RFP	positive_fraction_sigma2	9.365456779468987
Pos44	YFP	positive_fraction_sigma2	59.318132955420786
Pos45	RFP	positive_fraction_sigma2	12.013277128102665
Pos45	YFP	positive_fraction_sigma2	28.53352948315723
Pos46	RFP	positive_fraction_sigma2	10.482208401649975
Pos46	YFP	positive_fraction_sigma2	55.0492331869165
Pos47	RFP	positive_fraction_sigma2	4.813473517169521
Pos47	YFP	positive_fraction_sigma2	6.665457006771778
Pos48	RFP	positive_fraction_sigma2	8.575910023274284
Pos48	YFP	positive_fraction_sigma2	14.946893129201367
Pos49	RFP	positive_fraction_sigma2	7.675008421777211
Pos49	YFP	positive_fraction_sigma2	22.72729514434686
Pos5	RFP	positive_fraction_sigma2	5.349654477661291
Pos5	YFP	positive_fraction_sigma2	56.04359929045434
Pos50	RFP	positive_fraction_sigma2	7.655793001507731
Pos50	YFP	positive_fraction_sigma2	38.673931311026905
Pos51	RFP	positive_fraction_sigma2	3.7420493631039773
Pos51	YFP	positive_fraction_sigma2	23.108597493750544
Pos52	RFP	positive_fraction_sigma2	8.163785508321517
Pos52	YFP	positive_fraction_sigma2	44.52405426201019
Pos53	RFP	positive_fraction_sigma2	4.3036780027790975
Pos53	YFP	positive_fraction_sigma2	8.715552560492139
Pos54	RFP	positive_fraction_sigma2	15.24527008393354
Pos54	YFP	positive_fraction_sigma2	57.285168776586985
Pos55	RFP	positive_fraction_sigma2	7.968005098368555
Pos55	YFP	positive_fraction_sigma2	18.146949797914175
Pos56	RFP	positive_fraction_sigma2	14.622175641981059
Pos56	YFP	positive_fraction_sigma2	61.61794468044623
Pos57	RFP	positive_fraction_sigma2	4.532425155933473
Pos57	YFP	positive_fraction_sigma2	4.319840378557883
Pos58	RFP	positive_fraction_sigma2	6.286787715896577
Pos58	YFP	positive_fraction_sigma2	10.580053543987638
Pos59	RFP	positive_fraction_sigma2	3.394793351380486
Pos59	YFP	positive_fraction_sigma2	3.8427775993118276
Pos6	RFP	positive_fraction_sigma2	8.494822759621847
Pos6	YFP	positive_fraction_sigma2	36.5355471834516
Pos60	RFP	positive_fraction_sigma2	9.693046121138254
Pos60	YFP	positive_fraction_sigma2	53.63505442476659
Pos61	RFP	positive_fraction_sigma2	8.148678028261523
Pos61	YFP	positive_fraction_sigma2	23.950440091682598
Pos62	RFP	positive_fraction_sigma2	7.725016532035009
Pos62	YFP	positive_fraction_sigma2	56.521500201973204
Pos63	RFP	positive_fraction_sigma2	12.225994686309573
Pos63	YFP	positive_fraction_sigma2	21.588608088188302
Pos64	RFP	positive_fraction_sigma2	8.491716368754226
Pos64	YFP	positive_fraction_sigma2	36.60287619014745
Pos7	RFP	positive_fraction_sigma2	6.474226027290623
Pos7	YFP	positive_fraction_sigma2	6.625006105517176
Pos8	RFP	positive_fraction_sigma2	5.367275157956046
Pos8	YFP	positive_fraction_sigma2	9.117617706479841
Pos9	RFP	positive_fraction_sigma2	8.96126584513575
Pos9	YFP	positive_fraction_sigma2	32.53753854034228
Pos0	RFP	positive_fraction_sigma3	12.951970221451763
Pos0	YFP	positive_fraction_sigma3	59.00926402837947
Pos1	RFP	positive_fraction_sigma3	21.281496668203072
Pos1	YFP	positive_fraction_sigma3	28.751960760127645
Pos10	RFP	positive_fraction_sigma3	6.646324024995304
Pos10	YFP	positive_fraction_sigma3	42.92286589195572
Pos11	RFP	positive_fraction_sigma3	8.138824895511943
Pos11	YFP	positive_fraction_sigma3	55.145892431361695
Pos12	RFP	positive_fraction_sigma3	12.694042312672806
Pos12	YFP	positive_fraction_sigma3	64.74883190700554
Pos13	RFP	positive_fraction_sigma3	8.536725968498775
Pos13	YFP	positive_fraction_sigma3	55.40844940017274
Pos14	RFP	positive_fraction_sigma3	5.704751653835781
Pos14	YFP	positive_fraction_sigma3	28.498290198470222
Pos15	RFP	positive_fraction_sigma3	9.604160177720148
Pos15	YFP	positive_fraction_sigma3	20.67124269314208
Pos16	RFP	positive_fraction_sigma3	6.445943811380143
Pos16	YFP	positive_fraction_sigma3	37.195485932307975
Pos17	RFP	positive_fraction_sigma3	5.397983077945977
Pos17	YFP	positive_fraction_sigma3	46.643195255681036
Pos18	RFP	positive_fraction_sigma3	10.103785090315494
Pos18	YFP	positive_fraction_sigma3	55.647653109183054
Pos19	RFP	positive_fraction_sigma3	9.803856436698341
Pos19	YFP	positive_fraction_sigma3	62.207894165543486
Pos2	RFP	positive_fraction_sigma3	11.310470239587753
Pos2	YFP	positive_fraction_sigma3	32.908815822639646
Pos20	RFP	positive_fraction_sigma3	12.849848014549162
Pos20	YFP	positive_fraction_sigma3	56.70594448395488
Pos21	RFP	positive_fraction_sigma3	5.498290091172713
Pos21	YFP	positive_fraction_sigma3	36.12204611142437
Pos22	RFP	positive_fraction_sigma3	3.9357027084308465
Pos22	YFP	positive_fraction_sigma3	10.288056766079736
Pos23	RFP	positive_fraction_sigma3	9.983854778632955
Pos23	YFP	positive_fraction_sigma3	59.003643648188536
Pos24	RFP	positive_fraction_sigma3	6.53575443181962
Pos24	YFP	positive_fraction_sigma3	62.97001891717656
Pos25	RFP	positive_fraction_sigma3	5.250662596764217
Pos25	YFP	positive_fraction_sigma3	24.76022759737844
Pos26	RFP	positive_fraction_sigma3	4.76263444319623
Pos26	YFP	positive_fraction_sigma3	58.60493429764297
Pos27	RFP	positive_fraction_sigma3	8.291540719591245
Pos27	YFP	positive_fraction_sigma3	51.5582165032728
Pos28	RFP	positive_fraction_sigma3	9.8666366017673
Pos28	YFP	positive_fraction_sigma3	63.91244618602403
Pos29	RFP	positive_fraction_sigma3	19.026200744765998
Pos29	YFP	positive_fraction_sigma3	58.01039157391791
Pos3	RFP	positive_fraction_sigma3	4.887276829390093
Pos3	YFP	positive_fraction_sigma3	20.280051474705566
Pos30	RFP	positive_fraction_sigma3	14.168338142052942
Pos30	YFP	positive_fraction_sigma3	17.203439093912618
Pos31	RFP	positive_fraction_sigma3	4.847344041234601
Pos31	YFP	positive_fraction_sigma3	59.05947035692
Pos32	RFP	positive_fraction_sigma3	10.09226929585818
Pos32	YFP	positive_fraction_sigma3	58.42188711908265
Pos33	RFP	positive_fraction_sigma3	0.25151622146228964
Pos33	YFP	positive_fraction_sigma3	53.07799442938279
Pos34	RFP	positive_fraction_sigma3	12.20510562898869
Pos34	YFP	positive_fraction_sigma3	57.508212010348174
Pos35	RFP	positive_fraction_sigma3	10.840948662871446
Pos35	YFP	positive_fraction_sigma3	63.04003095903376
Pos36	RFP	positive_fraction_sigma3	8.185420440384348
Pos36	YFP	positive_fraction_sigma3	50.06935433914845
Pos37	RFP	positive_fraction_sigma3	4.277252757723502
Pos37	YFP	positive_fraction_sigma3	19.446599472484223
Pos38	RFP	positive_fraction_sigma3	10.786234858646424
Pos38	YFP	positive_fraction_sigma3	23.400980129696418
Pos39	RFP	positive_fraction_sigma3	7.461522650946061
Pos39	YFP	positive_fraction_sigma3	36.126960705723974
Pos4	RFP	positive_fraction_sigma3	8.212423961462761
Pos4	YFP	positive_fraction_sigma3	54.81922482797383
Pos40	RFP	positive_fraction_sigma3	7.718585356378658
Pos40	YFP	positive_fraction_sigma3	63.72877690455225
Pos41	RFP	positive_fraction_sigma3	12.507720653077888
Pos41	YFP	positive_fraction_sigma3	31.434040440057405
Pos42	RFP	positive_fraction_sigma3	13.726202646789492
Pos42	YFP	positive_fraction_sigma3	53.5952105354519
Pos43	RFP	positive_fraction_sigma3	7.707274856050618
Pos43	YFP	positive_fraction_sigma3	4.824306364132359
Pos44	RFP	positive_fraction_sigma3	10.073934585710923
Pos44	YFP	positive_fraction_sigma3	64.6898160737539
Pos45	RFP	positive_fraction_sigma3	14.156299404394344
Pos45	YFP	positive_fraction_sigma3	33.33391163342539
Pos46	RFP	positive_fraction_sigma3	16.82219436239851
Pos46	YFP	positive_fraction_sigma3	54.23653525822845
Pos47	RFP	positive_fraction_sigma3	4.096546540683995
Pos47	YFP	positive_fraction_sigma3	7.137191206831609
Pos48	RFP	positive_fraction_sigma3	9.207313761372927
Pos48	YFP	positive_fraction_sigma3	18.51257792456098
Pos49	RFP	positive_fraction_sigma3	9.540141655284843
Pos49	YFP	positive_fraction_sigma3	27.8347039121819
Pos5	RFP	positive_fraction_sigma3	6.767516752167783
Pos5	YFP	positive_fraction_sigma3	61.309093447437306
Pos50	RFP	positive_fraction_sigma3	9.61208136057604
Pos50	YFP	positive_fraction_sigma3	45.770857336271284
Pos51	RFP	positive_fraction_sigma3	4.51868626534385
Pos51	YFP	positive_fraction_sigma3	24.377457060639642
Pos52	RFP	positive_fraction_sigma3	8.421825696751002
Pos52	YFP	positive_fraction_sigma3	45.04542424119361
Pos53	RFP	positive_fraction_sigma3	5.3762594125314065
Pos53	YFP	positive_fraction_sigma3	8.472108925676768
Pos54	RFP	positive_fraction_sigma3	17.81892332564406
Pos54	YFP	positive_fraction_sigma3	9.175536025268212
Pos55	RFP	positive_fraction_sigma3	9.605150674066902
Pos55	YFP	positive_fraction_sigma3	24.143510615093557
Pos56	RFP	positive_fraction_sigma3	19.06227942504656
Pos56	YFP	positive_fraction_sigma3	3.3544764638921736
Pos57	RFP	positive_fraction_sigma3	3.437422885234962
Pos57	YFP	positive_fraction_sigma3	6.137126164815107
Pos58	RFP	positive_fraction_sigma3	7.321953517153664
Pos58	YFP	positive_fraction_sigma3	13.956980206607616
Pos59	RFP	positive_fraction_sigma3	3.065262877511988
Pos59	YFP	positive_fraction_sigma3	4.632333136196113
Pos6	RFP	positive_fraction_sigma3	9.66700356079989
Pos6	YFP	positive_fraction_sigma3	33.208275537607776
Pos60	RFP	positive_fraction_sigma3	11.203153848986473
Pos60	YFP	positive_fraction_sigma3	47.949509009156664
Pos61	RFP	positive_fraction_sigma3	9.72358799344881
Pos61	YFP	positive_fraction_sigma3	31.05619089840895
Pos62	RFP	positive_fraction_sigma3	8.036434282049527
Pos62	YFP	positive_fraction_sigma3	57.64398986158254
Pos63	RFP	positive_fraction_sigma3	12.535975526561936
Pos63	YFP	positive_fraction_sigma3	12.967570356829563
Pos64	RFP	positive_fraction_sigma3	9.523874838516539
Pos64	YFP	positive_fraction_sigma3	36.309617022912356
Pos7	RFP	positive_fraction_sigma3	6.966328850813004
Pos7	YFP	positive_fraction_sigma3	6.924173361075979
Pos8	RFP	positive_fraction_sigma3	5.807799094923345
Pos8	YFP	positive_fraction_sigma3	11.143430714459022
Pos9	RFP	positive_fraction_sigma3	11.92690890883654
Pos9	YFP	positive_fraction_sigma3	35.81630041908677
Pos0	RFP	positive_fraction_sigma4	14.470045129403486
Pos0	YFP	positive_fraction_sigma4	66.25301917385534
Pos1	RFP	positive_fraction_sigma4	24.30806582021316
Pos1	YFP	positive_fraction_sigma4	30.40761086141895
Pos10	RFP	positive_fraction_sigma4	7.848403319429093
Pos10	YFP	positive_fraction_sigma4	49.815494223049726
Pos11	RFP	positive_fraction_sigma4	9.054178446893596
Pos11	YFP	positive_fraction_sigma4	62.38150560647808
Pos12	RFP	positive_fraction_sigma4	15.104282661307558
Pos12	YFP	positive_fraction_sigma4	66.55917495429864
Pos13	RFP	positive_fraction_sigma4	8.933884026723941
Pos13	YFP	positive_fraction_sigma4	60.86262104042874
Pos14	RFP	positive_fraction_sigma4	6.759976342652113
Pos14	YFP	positive_fraction_sigma4	26.529602860857402
Pos15	RFP	positive_fraction_sigma4	10.846864297655117
Pos15	YFP	positive_fraction_sigma4	25.51433803871813
Pos16	RFP	positive_fraction_sigma4	7.337563280886071
Pos16	YFP	positive_fraction_sigma4	23.854932833421092
Pos17	RFP	positive_fraction_sigma4	5.675840538116348
Pos17	YFP	positive_fraction_sigma4	57.51827938883968
Pos18	RFP	positive_fraction_sigma4	10.688887372640199
Pos18	YFP	positive_fraction_sigma4	61.24534727339294
